index,metadata,proba canon,proba non-canon,prediction,accord
1922_Galopin-Arnould_Memoires-d-un-cambrioleur-retire-des-affaires,non_canon,0.11214561844502863,0.8878543815549715,non_canon,True
1887_Bloy-Leon_Le-Desespere,canon,0.2581346403701929,0.741865359629807,non_canon,False
1829_Hugo-Victor_Le-dernier-jour-d-un-condamne,canon,0.4090677624277449,0.590932237572255,non_canon,False
1953_de-La-Varende-Jean_L-Homme-aux-gants-de-toile,non_canon,0.3437922549443364,0.6562077450556638,non_canon,True
1888_Guy-de-Maupassant_Le-Rosier-de-Mme-Husson,non_canon,0.4045311043801332,0.5954688956198668,non_canon,True
2013_Zeniter-Alice_Sombre-dimanche,canon,0.6249688314730494,0.3750311685269506,canon,True
1928_Leblanc-Maurice_L-Agence-Barnett-et-Cie,non_canon,0.2077018853326464,0.7922981146673537,non_canon,True
1831_Barbey-d-Aurevilly-Jules_Le-cachet-d-onyx,non_canon,0.7040980405453081,0.29590195945469194,canon,False
2003_Daeninckx-Didier_La-route-du-Rom,non_canon,0.14974811149776862,0.8502518885022313,non_canon,True
1878_Zola-Emile_Madeleine-Ferat,canon,0.6256067715245412,0.37439322847545864,canon,True
1841_Sand-George_Le-compagnon-du-tour-de-France_tome-1,non_canon,0.16195588537748873,0.8380441146225113,non_canon,True
1879_Saint-François-Leon_L-Saint-François-Vieux-peches-scenes-parisiennes,non_canon,0.22872855607641346,0.7712714439235867,non_canon,True
1895_Louÿs-Pierre_Aphrodite--moeurs-antiques,non_canon,0.5246079467120295,0.47539205328797063,canon,False
1894_Buet-Charles_Le-chasseur-d-ours,non_canon,0.329177685344442,0.670822314655558,non_canon,True
1888_Zola-Emile_Le-reve,canon,0.7688137723897709,0.23118622761022903,canon,True
1920_Leroux-Gaston_Aventures-effroyables-de-M-Herbert-de-Renich_Tome-II-La-Bataille-invisible,non_canon,0.2756488122194195,0.7243511877805805,non_canon,True
1924_Leblanc-Maurice_La-dent-d-Hercule-Petitgris,non_canon,0.1680464928759812,0.8319535071240186,non_canon,True
1975_Deon-Michel_Le-Jeune-homme-vert,non_canon,0.2964913140526175,0.7035086859473825,non_canon,True
1849_Berthoud-Henry_Les-Filleules-de-Rubens_Tome-I,non_canon,0.27318323720140547,0.7268167627985945,non_canon,True
2009_Jourde-Pierre_Paradis-Noir,non_canon,0.29761297017844984,0.7023870298215501,non_canon,True
1846_Balzac-Honore-de_Gaudissart_II,non_canon,0.5370653951712417,0.4629346048287582,canon,False
1855_Dumas-Alexandre_La-derniere-annee-de-Marie-Dorval,non_canon,0.2683942047979143,0.7316057952020857,non_canon,True
1877_Witt-Henriette-de_Scenes-historiques,non_canon,0.14825268298049138,0.8517473170195086,non_canon,True
2008_Enard-Mathias_Zone,canon,0.5052686239667957,0.49473137603320433,canon,True
1988_Orsenna-Erik_L-exposition-coloniale,canon,0.31868538198205454,0.6813146180179455,non_canon,False
2014_Kerangal-Maylis-de_Reparer-les-vivants,canon,0.6304194111756567,0.3695805888243434,canon,True
1929_Martin-du-Gard-Roger_Les-Thibault_Tome-VI-La-mort-du-pere,non_canon,0.2981910051017752,0.7018089948982248,non_canon,True
1885_Bazin-Rene_Ma-tante-Giron,non_canon,0.28602536511731663,0.7139746348826834,non_canon,True
1884_Chavette-Eugene_Le-saucisson-a-pattes_II-Le-plan-de-Cardeuc,non_canon,0.19015550496577904,0.8098444950342208,non_canon,True
