bac,brevet,lm,sup,prix,gf,pleiade,gouv
les orientales,les noëls blancs,jules renard,"vents, chronique et chant pour un équinoxe",filles de pluie,barry lydon,jorge luis borges,les tribulations d'un chinois en chine
le jeu de l'amour et du hasard,l'auberge du larzac,edouard estaunie,œuvres complètes,les javanais,journaux,charles ferdinand ramuz,les trois mousquetaires
la connaissance du soir,dans la gueule du vent,alain fournier,l'heptaméron,nagasaki,le pere goriot,tallemant des reaux,essai sur la psychologie de la main
mont-oriol,la force de l’âge,valery larbaud,mémoires,eldorado 51,souvenirs d enfance et de jeunesse,saint augustin,gaspard de la nuit
fantome d'orient,histoires pressées,louis hemon,œuvres poétiques,un brillant avenir,l amour courtois,luigi pirandello,les dernières poésies de marguerite de navarre
"""en sortant de l'ecole""",les déferlantes,charles peguy,tête d'or (deuxième version),le cri du sablier,le livre du philosophe,guillaume apollinaire,contes du temps passé
san bernardino,cour nord,paul claudel,"le ravissement de lol v. stein, le vice-consul et india song",la chasse royale,tout alice,rainer maria rilke,les fleurs du mal
la danse des poignards,"à trop tendre l’oreille, on n’entend plus nos rêves",marcel proust,la queste del saint-graal,rue du havre,le diable au corps,jean cocteau,au soleil
le ravissement de lol v. stein(1964).,l'arbre de violence,andre gide,œuvres complètes,sangs,pensees,paul verlaine,les misérables
le fou d elsa,la vie devant soi,paul valery,états et empires de la lune,les emes grises,recits de la maison des morts,emmanuel kant,vingt mille lieues sous les mers
le petit poucet,les courtes,andre breton,"le barbier de séville, le mariage de figaro, la mère coupable",le sud,les souffrances du jeune werther,saint françois de sales,la confession d'un enfant du siècle
forets,la vie rêvée,robert desnos,de la démocratie en amérique,les bienveillantes,annales,mikhail boulgakov,racine et shakespeare
"""a une mendiante rousse""",les âmes grises,paul eluard,l'âge d'homme,le maetre des paons,la chartreuse de parme,maxime gorki,robur-le-conquérant
zapping,fantômas,louis aragon,la chanson de roland,capitaine conan,le journal d une femme de chambre,pierre choderlos de laclos,histoire de manon lescaut et du chevalier des grieux
inclus,a la recherche d'une odeur de grand-mère,jean cocteau,les tragiques,les noces barbares,les etats et empires du soleil,nicolas edme restif de la bretonne,nausikaa (odyssée)
gaspard de la nuit,arrêt sur image,max jacob,esther et athalie,l herbebruler,nouvelles romaines,alfred de musset,a rebours
les femmes savantes,l'assommoir,pierre reverdy,rousseau juge de jean-jacques,le chevrefeuille,une vieille maîtresse,marguerite duras,mauprat ; metella
le paysan parvenu,histoire de ma vie,jules supervielle,illusions perdues,notre dame des desempares,la marquise d o   ,stephane mallarme,les malheurs de sophie
la comedie de la mort,l’attaque du moulin,steve passeur,poésies 1946-1967 et à la lumière d'hiver,silbermann,salome,jane austen,la farce de maître pathelin
usage du temps,le cri de la mouette,marcel achard,le roman de thèbes,la foi de notre enfance,bartleby,nathalie sarraute,les dieux et les demi-dieux de la peinture
monseigneur le dauphin,cherchez la femme,charles vildrac,"essais, livre iii",le roi des aulnes,lettres et vies,johann wolfgang goethe,essais
le roman de monsieur de moliere,eloge de la lecture,paul geraldy,le carême du louvre,anielka,armance ou quelques scenes d un salon de paris en 1827contes d une grand merejulie ou la nouvelle heloïse,alain,contrat social ou principes de droit politique ; (précédé des trois) discours ; lettre à d'alembert sur les spectacles ; (et suivi de) considérations sur le gouvernement de pologne…
la lune et les sabots,une enfance créole ii – chemin d’école,jean jacques bernard,histoire de gil blas de santillane,le jour des fourmis,nouvelles,alfred jarry,contes du lundi (nouvelle édition)
le dernier jour d'un condamne,métaphysique des tubes,edouard bourdet,les fleurs du mal,des anges mineurs,le diable boiteux,paul eluard,mathias sandorf
aurelien,le crin de florence,jules romains,électre et la guerre de troie n'aura pas lieu,le complexe de di,le côte de guermantes,saint simon,bouvard et pécuchet
bruges-la-morte,mes légendes,marcel pagnol,le livre du voir dit,dans ces bras le,physiologie du mariage,wu cheng en,les derniers jours de pompéi
l etranger,coulée d'or,armand salacrou,odes,le voyage d edgar,les bords du rhin,mark twain,l'éducation sentimentale
les chatiments,le vent paraclet,jean giraudoux,l'illusion comique et le cid,le devoir de violence,cecile,henry fielding,la dame aux camélias
vingt mille lieues sous les mers,la quarantaine,roger martin du gard,"le spectateur français, l'indigent philosophe et le cabinet du philosophe",l etudiant etranger,trois contes,paul claudel,capitaine fracasse
emaux et camees,mémoires d’une jeune fille rangée,georges duhamel,la légende des siècles,les freres romance,le spleen de paris,raymond queneau,les enfants du capitaine grant
ode inacheveela boue (extrait),mémoires d’outre-tombe,raymond radiguet,les voyageurs de l'impériale,la mort du roi tsongor,lettres persanes,paul valery,de la terre à la lune
les derniers jours de l'arabie heureuse1,tamarii tahiti mémoires,jacques chardonne,merlin,jayne mansfield 1967,odyssee,anatole france,le lys dans la vallée
lettre a madame hanska,geneviève ou la confidence inachevée,marcel arland,les juives et hippolyte,les mandarins,la cloche d islande,madame de staël,l'ingénieux hidalgo don quichotte de la manche
le verre,le coq de bruyère,jacques de lacretelle,histoire comique de francion,le photographe,les deux visages,jules renard,le diable au corps
lettres a lou,la composition française,felix de chazournes,"entretien entre d'alembert et diderot, le rêve de d'alembert, suite de l'entretien, le fils naturel, entretiens sur le fils naturel",georgette garou,contes,jean de la fontaine,une saison en enfer
l'illusion comique,convention internationale des droits de l'enfant,françois mauriac,les complaintes,l air sur la quatrieme corde,les choephores   les eumenides,honore de balzac,la petite fadette
moliere,contes du jour et de la nuit,georges bernanos,sodome et gomorrhe,riche et legere,les infortunes de la vertude l amour,françois mauriac,poèmes
le savant et le fermier,l'année de l'éveil,marcel jouhandeau,histoire d'un voyage en terre de brésil,des choses idiotes et douces,illusions perdues,lewis carroll,salammbô
les vrilles de la vigne,les misérables,julien green,"le misanthrope, george dandin, le bourgeois gentilhomme",la chambre de la stella,mireille,cardinal de retz,atala ; rené ; le dernier des abencérages ; les quatre stuarts ; voyages
electre,métamorphoses,henry de montherlant,traité sur la tolérance,du domaine de murmures,micromegas   zadig   candide,alexandre dumas,le tartuffe
la genisse,un enfant sage,andre malraux,corinne ou l'italie,il faut beaucoup aimer les hommes,naïs micoulin et autres nouvelles,saint john perse,la nouvelle héloïse
le grand meaulnes,la chasse au bonheur,antoine de saint exupery,"stèles, équipée",le rivage des syrtes,journal d un cure de campagne,jean genet,les souffrances du jeune werther
lettres a un jeune poete,les pavés de la colère,henri barbusse,le conte du graal,limonov,memoires d outre tombe,georges bataille,poil de carotte
l'autre monde ou histoire comique des etats et empires de la lune et du soleil,les vrilles de la vigne,louis aragon,saül le furieux,l orphelin de mer    ou les memoires de monsieur non,correspondance,marcel proust,voyages de gulliver
"""l'ancienne gare de cahors""",pilote de guerre,louis ferdinand celine,maximes,les beaux quartiers,la faute de l abbe mouret,jean giraudoux,la chartreuse de parme
baudelaire par lui-meme (1952),no et moi,eugene dabit,les liaisons dangereuses,lignes de failles,le rêve,jean giono,les caprices de marianne
on purge bebe,la reine du silence,andre chamson,poésies,le souffle,le quart livre,rene char,émile
et mon ceur transparent,du renard et des raisins,georges simenon,"en attendant godot, fin de partie",memoires de porc epic,les âmes mortes,walter scott,la peau de chagrin (édition de 1839)
le rivage des syrtes,celui qui n'avait jamais vu la mer,maurice genevoix,vie de saint louis,l ordre,bruges la morte,rene descartes,le comte de monte-christo
lettre de voltaire au parlement de toulouse,le marcheur du pôle,charles ferdinand ramuz,les amours,naissance d un pont,histoires grotesques et serieuses,friedrich hölderlin,le poète assassiné
eloge de la folie,la cicatrice,jean giono,"cinna, rodogune, nicomède",le roi dort,cinq semaines en ballon,michel de montaigne,les caractères
orphee aux enfers,les philo-fables,henri bosco,les rêveries du promeneur solitaire,mes mauvaises pensees,contes et entretiens,julien gracq,
l ame de la ville,la chambre de la stella,jean de la varende,"les filles du feu, les chimères, aurélia",baisers de cinema,la legende des siecles,marcel ayme,
