date,auteur,titre,fabula
1846,louis reybaud,jerome paturot a la recherche d une position sociale,False
1846,george sand,la mare au diable,True
1846,george sand,lucrezia floriani,True
1847,amedee achard,belle rose,False
1847,honore de balzac,le depute d arcis,True
1847,de plancy jacques collin,legende du juif errant,False
1847,comtesse de dash,keepsake des jeunes personnes,False
1847,alexandre dumas,les quarante cinq,True
1847,inconnu,la bonne mere,False
1847,richomme fanny mme,grain de sable ou le sorcier d altenbourg,False
1847,marie mme de plagniol sainte,les bonnes eleves,False
1847,george sand,le peche de m antoine,True
1847,george sand,simon,True
1847,jules sandeau,mademoiselle de la seigliere,False
1847,eugene sue,martin l enfant trouve,True
1847,eugene sue,martin l enfant trouve,True
1847,eugene sue,martin l enfant trouve,True
1847,eugene sue,martin l enfant trouve,True
1848,honore de balzac,les parents pauvres la cousine bette,True
1848,honore de balzac,les parents pauvres le cousin pons,True
1848,alexandre dumas,la dame aux camelias,True
1848,paul de musset,la chevre jaune,False
1848,george sand,françois le champi,True
1848,eugene sue,le morne au diable,True
1848,catherine woillez,edma et marguerite ou les ruines de chatillon d azergues,False
1849,henry berthoud,les filleules de rubens,False
1849,françois rene de chateaubriand,memoires d outre tombe,True
1849,françois rene de chateaubriand,memoires d outre tombe,True
1849,françois rene de chateaubriand,memoires d outre tombe,True
1849,françois rene de chateaubriand,memoires d outre tombe,True
1849,françois rene de chateaubriand,memoires d outre tombe,True
1849,alexandre dumas,le collier de la reine,True
1849,alexandre dumas,les mariages du pere olifus,True
1849,alexandre dumas,les mille et un fantomes,True
1849,george sand,la petite fadette,True
1849,eugene sue,les mysteres du peuple,True
1849,eugene sue,les mysteres du peuple,True
1850,anais de bassanville,le soir et le matin de la vie ou conseils aux jeunes filles,False
1850,alexandre dumas,dieu dispose,True
1850,alexandre dumas,dieu dispose,True
1850,alexandre dumas,la colombe,True
1850,alexandre dumas,la femme au collier de velours,True
1850,alexandre dumas,la tulipe noire,True
1850,alexandre dumas,le trou de l enfer,True
1850,alexandre dumas,le vicomte de bragelonne,True
1850,paul feval,la fee des greves,False
1850,paul feval,les belles de nuit ou les anges de la famille,False
1850,paul feval,les belles de nuit ou les anges de la famille,False
1850,inconnu,un roman sous l empire,False
1850,alphonse de lamartine,genevieve  histoire d une servante,True
1850,eugene sue,les mysteres du peuple,True
1851,henry ceard,belle journee,False
1851,alexandre dumas,ange pitou,True
1851,alexandre dumas,olympe de cleves,True
1851,alexandre dumas,olympe de cleves,True
1851,alexandre dumas,olympe de cleves,True
1851,edmond de goncourt jules de goncourt,en 18,True
1851,george sand,histoire du veritable gribouille,True
1851,george sand,le chateau des desertes,True
1851,emile souvestre,les derniers paysans,False
1851,emile souvestre,les derniers paysans,False
1851,emile souvestre,un philosophe sous les toits,False
1851,eugene sue,les mysteres du peuple,True
1852,zulma tourangin mme carraud,la petite jeanne,False
1852,alexandre dumas,conscience l innocent,True
