date,auteur,titre,fabula,canonicity_1,canonicity_2
1859,gustave aimard,l eclaireur,False,0,0
1859,alexandre dumas,le fils du forçat,True,3,3
1859,alexandre dumas,les louves de machecoul,True,3,3
1859,alexandre dumas,sultanetta,True,3,3
1859,paul feval,la maison de pilate,False,0,0
1859,paul feval,le roi des gueux,False,0,0
1859,mathilde grangier,amour et devoir,False,0,0
1859,inconnu,les soirees du pere laurent,False,0,0
1859,felicien mallefille,monsieur corbeau,False,0,0
1859,paul de musset,lui et elle,False,0,0
1859,du terrail pierre ponson,les chevaliers du clair de lune,False,0,0
1859,du terrail pierre ponson,les exploits de rocambole,False,0,0
1859,du terrail pierre ponson,les exploits de rocambole,False,0,0
1859,du terrail pierre ponson,les exploits de rocambole,False,0,0
1859,x b. saintine,metamorphoses de la femme,False,0,0
1859,george sand,elle et lui,True,3,3
1859,comtesse de segur,les vacances,False,0,0
1859,emile souvestre,les reprouves et les elus,False,0,0
1859,emile souvestre,les reprouves et les elus,False,0,0
1859,florence strub,l ermite de vallombreuse suivi de madeleine,False,0,0
1859,louis ulbach,pauline foucault,False,0,0
1860,alfred assollant,histoire fantastique du celebre pierrot,False,0,0
1860,alexandre dumas,jacquot sans oreilles,True,3,3
1860,alexandre dumas,l horoscope,True,3,3
1860,alexandre dumas,une aventure d amour,True,3,3
1860,chatrian erckmann,contes fantastiques,False,2,3
1860,paul feval,le chevalier tenebre,False,0,0
1860,paul feval,le medecin bleu,False,0,0
1860,edmond de goncourt jules de goncourt,charles demailly,True,5,5
1860,jules noriac,la betise humaine,False,0,0
1860,ange pechmeja,rosalie nouvelle,False,0,0
1860,du terrail pierre ponson,les chevaliers du clair de lune,False,0,0
1860,d anglemont alexandre privat,paris anecdote,False,0,0
1860,aricie courbatere mme sauquet,les veillees du pensionnat,False,0,0
1860,comtesse de segur,les memoires d un ane,False,0,0
1860,louis ulbach,l ile des reves,False,0,0
1860,emilie de vars,une deception,False,0,0
1860,anduze henri vie,dernier amour de cinq mars roman historique,False,0,0
1860,pierre zaccone,une vengeance anglaise,False,0,0
1861,edmond about,le nez d un notaire,False,0,0
1861,alexandre dumas,bric a brac,True,3,3
1861,xavier eyma,aventuriers et corsaires,False,0,0
1861,edmond de goncourt jules de goncourt,sœur philomene,True,3,3
1861,aristide de gondrecourt,le pays de la peur,False,0,0
1861,aristide de gondrecourt,le pays de la peur,False,0,0
1861,aristide de gondrecourt,le pays de la peur,False,0,0
1861,charles maquet,les orages de la vie,False,0,0
1861,rene du mesnil maricourt,un coin de la vieille picardie ou les arquebusiers de senlis,False,0,0
1861,armand pommier,la benjamine,False,0,0
1861,du terrail pierre ponson,le testament de grain de sel,False,0,0
