,doc_name,date,auteur,titre,canon_roman,canon_auteur,gender,bac,brevet,lm,sup,prix,gf,pleiade,gouv
91,1834_Sand-George_Le-secretaire-intime,1834,george sand,le secretaire intime,non_canon,True,female,0,0,1,0,0,0,1,0
92,1834_Sand-George_Leone-Leoni,1834,george sand,leone leoni,non_canon,True,female,0,0,1,0,0,0,1,0
93,1834_Suau-de-Varennes-Edouard_Scenes-de-France-et-d-Afrique,1834,de varennes edouard suau,scenes de france et d afrique,non_canon,False,male,0,0,0,0,0,0,0,0
94,1835_Chaumier-Simeon_La-Taverniere-de-la-cite,1835,simeon chaumier,la taverniere de la cite,non_canon,False,male,0,0,0,0,0,0,0,0
95,1835_Corbiere-Edouard_Scenes-de-mer_Tome-I,1835,edouard corbiere,scenes de mer,non_canon,False,male,0,0,0,0,0,0,0,0
96,1835_Corbiere-Edouard_Scenes-de-mer_Tome-II,1835,edouard corbiere,scenes de mer,non_canon,False,male,0,0,0,0,0,0,0,0
97,1835_Gautier-Theophile_Mademoiselle-de-Maupin,1835,theophile gautier,mademoiselle de maupin,canon,True,male,0,0,1,0,0,1,1,0
98,1835_Woillez-Catherine_Le-Robinson-des-demoiselles,1835,catherine woillez,le robinson des demoiselles,non_canon,False,female,0,0,0,0,0,0,0,0
99,1836_Girardin-Delphine-de_La-canne-de-M-de-Balzac,1836,delphine de girardin,la canne de m de balzac,non_canon,False,female,0,0,0,0,0,0,0,0
100,1836_Gozlan-Leon_Le-notaire-de-Chantilly,1836,leon gozlan,le notaire de chantilly,non_canon,False,male,0,0,0,0,0,0,0,0
101,1836_Igonette-T._Le-Valmont-de-la-jeunesse-ou-le-Triomphe-des-vertus-sur-les-egarements-de-la-raison-mis-a-la-portee-des-jeunes-gens-des-deux-sexes-par-T-Igonette__tome-1),1836,t. igonette,le valmont de la jeunesse ou le triomphe des vertus sur les egarements de la raison mis a la portee des jeunes gens des deux sexes par t igonette,non_canon,False,unknown,0,0,0,0,0,0,0,0
102,1836_Igonette-T._Le-Valmont-de-la-jeunesse-ou-le-Triomphe-des-vertus-sur-les-egarements-de-la-raison-mis-a-la-portee-des-jeunes-gens-des-deux-sexes__tome-2),1836,t. igonette,le valmont de la jeunesse ou le triomphe des vertus sur les egarements de la raison mis a la portee des jeunes gens des deux sexes,non_canon,False,unknown,0,0,0,0,0,0,0,0
103,1836_Merimee-Prosper_La-Venus-d-Ille,1836,prosper merimee,la venus d ille,non_canon,True,male,0,0,1,0,0,0,1,0
104,1836_Musset-Alfred-de_La-Confession-d-un-enfant-du-siecle-par-Alfred-de-Musset-nouvelle-edition_(1878),1836,alfred de musset,la confession d un enfant du siecle par alfred de musset nouvelle edition,canon,True,male,0,0,1,0,0,0,1,0
105,1836_Saintine-Xavier_Pic_iola,1836,xavier saintine,pic,non_canon,False,male,0,0,0,0,0,0,0,0
106,1837_Aubert-de-Gaspe-Philippe_Le-chercheur-de-tresors,1837,de gaspe philippe aubert,le chercheur de tresors,non_canon,False,male,0,0,0,0,0,0,0,0
107,1837_Blanchard-Pierre_Le-Nouvelliste-de-la-jeunesse,1837,pierre blanchard,le nouvelliste de la jeunesse,non_canon,False,male,0,0,0,0,0,0,0,0
108,1837_Nodier-Charles_Ines-de-Las-Sierras,1837,charles nodier,ines de las sierras,non_canon,True,male,0,0,0,0,0,0,0,0
109,1837_Sabatier-de-Castres-Camille_La-Colonie-chretienne-histoire-de-plusieurs-deportes-jetes-par-un-naufrage-dans-une-ile-deserte-par-C-Sabatier-de-Castres_(1837),1837,de castres camille sabatier,la colonie chretienne histoire de plusieurs deportes jetes par un naufrage dans une ile deserte par c sabatier de castres,non_canon,False,male,0,0,0,0,0,0,0,0
110,1837_Sand-George_La-derniere-Aldini,1837,george sand,la derniere aldini,non_canon,True,female,0,0,1,0,0,0,1,0
111,1837_Sand-George_Les-maitres-mosaistes,1837,george sand,les maitres mosaistes,non_canon,True,female,0,0,1,0,0,0,1,0
112,1837_Sand-George_Mauprat,1837,george sand,mauprat,non_canon,True,female,0,0,1,0,0,0,1,0
113,1838_Corbiere-Edouard_Les-Trois-Pirates,1838,edouard corbiere,les trois pirates,non_canon,False,male,0,0,0,0,0,0,0,0
114,1838_Dumas-Alexandre_Le-Capitaine-Paul,1838,alexandre dumas,le capitaine paul,non_canon,True,male,0,0,0,0,0,0,1,0
115,1838_Dumas-Alexandre_Othon-l-Archer,1838,alexandre dumas,othon l archer,non_canon,True,male,0,0,0,0,0,0,1,0
116,1838_Dupin-Antoinette_Comment-tout-finit-par-Mme-A-Dupin_Tome-2,1838,antoinette dupin,comment tout finit par mme a dupin,non_canon,False,female,0,0,0,0,0,0,0,0
